SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
AXITA,Axita Cotton Limited,BE,21-JUN-2022,INE02EZ01022
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,INE193B01039
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,INE02IJ01035
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,INE878I01022
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,INE116D01028
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,INE0O9T01021
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,INE794B01026
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,INE050E01027
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,INE618N01022
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,INE875R01011
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,INE164A01016
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,INE119A01028
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,INE011E01029
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,INE655B01011
